instrument_id,timestamp,action,reason,stop_distance,approved
ZZ0000000008:XETR:EUR,2024-01-02T08:05:00Z,LONG,baseline,0.0,False
ZZ0000000008:XETR:EUR,2024-01-02T08:10:00Z,LONG,baseline,0.0,False
ZZ0000000008:XETR:EUR,2024-01-02T08:15:00Z,LONG,baseline,0.0,False
ZZ0000000008:XETR:EUR,2024-01-02T08:20:00Z,LONG,baseline,0.0,False
ZZ0000000008:XETR:EUR,2024-01-02T08:25:00Z,LONG,baseline,0.0,False
ZZ0000000008:XETR:EUR,2024-01-02T08:30:00Z,LONG,baseline,0.0,False
ZZ0000000008:XETR:EUR,2024-01-02T08:35:00Z,LONG,baseline,0.0,True
